"session_id","Session Start","Session Finish","Session Duration (sec)","User","Country","City","Geo point"
6,2024-04-06 01:57:05.000,2024-04-06 06:51:38.000,17673.000000,user36,Ukraine,Kryvyy Rih,"[47.9283,33.345]"
7,2024-04-09 12:43:21.000,2024-04-09 16:03:46.000,12025.000000,user246,Nigeria,Maiduguri,"[11.85,13.16]"
8,2024-04-08 15:29:11.000,2024-04-08 17:09:44.000,6033.000000,user328,Mexico,Tampico,"[22.3,-97.87]"
9,2024-04-06 18:39:30.000,2024-04-06 19:32:45.000,3195.000000,user14,Japan,Kyōto,"[35.03,135.75]"
10,2024-04-04 21:46:45.000,2024-04-04 23:20:44.000,5639.000000,user95,Kazakhstan,Pavlodar,"[52.3,76.95]"
11,2024-04-08 16:03:28.000,2024-04-08 17:19:16.000,4548.000000,user56,Australia,Cranbourne,"[-38.0996,145.2834]"
12,2024-04-05 00:51:02.000,2024-04-05 01:31:38.000,2436.000000,user28,United States,Lexington,"[38.0423,-84.4587]"
13,2024-04-09 09:07:00.000,2024-04-09 14:52:58.000,20758.000000,user307,Argentina,Corrientes,"[-27.49,-58.81]"
14,2024-04-04 03:41:45.000,2024-04-04 09:05:56.000,19451.000000,user32,Ukraine,Kharkiv,"[50,36.25]"
15,2024-04-09 03:49:28.000,2024-04-09 09:05:00.000,18932.000000,user464,Canada,Québec,"[46.84,-71.2456]"
16,2024-04-04 11:42:47.000,2024-04-04 16:45:36.000,18169.000000,user285,Japan,Kyōto,"[35.03,135.75]"
17,2024-04-06 22:38:18.000,2024-04-07 05:36:08.000,25070.000000,user63,Turkey,Diyarbakır,"[37.9204,40.23]"
18,2024-04-07 14:23:16.000,2024-04-07 15:35:43.000,4347.000000,user285,Japan,Kyōto,"[35.03,135.75]"
19,2024-04-08 11:16:36.000,2024-04-08 13:21:13.000,7477.000000,user110,Egypt,Qinā,"[26.1505,32.72]"
